time (min),velocity (m/s),d0,n0,d,n,B d,Bn
30,0.8,0.90621,1.811,0.86399399,1.43751002,0.06517,0.07185
60,0.8,0.90621,1.811,0.847784529,1.365091912,0.06517,0.07185
120,0.8,0.90621,1.811,0.838540096,1.344356432,0.06517,0.07185
180,0.8,0.90621,1.811,0.836219134,1.338721443,0.06517,0.07185
240,0.8,0.90621,1.811,0.834874068,1.333640628,0.06517,0.07185
300,0.8,0.90621,1.811,0.833667799,1.328597924,0.06517,0.07185
400,0.8,0.90621,1.811,0.831694974,1.320236879,0.06517,0.07185
500,0.8,0.90621,1.811,0.829730206,1.311928477,0.06517,0.07185
600,0.8,0.90621,1.811,0.827770207,1.30367236,0.06517,0.07185
700,0.8,0.90621,1.811,0.825814843,1.2954682,0.06517,0.07185
800,0.8,0.90621,1.811,0.823864099,1.28731567,0.06517,0.07185
900,0.8,0.90621,1.811,0.821917963,1.279214445,0.06517,0.07185
1000,0.8,0.90621,1.811,0.819976423,1.271164201,0.06517,0.07185
1100,0.8,0.90621,1.811,0.818039471,1.263164619,0.06517,0.07185
1200,0.8,0.90621,1.811,0.816107093,1.255215379,0.06517,0.07185
30,0.8,0.86399399,1.43751002,0.847784529,1.365091912,0.06517,0.07185
90,0.8,0.86399399,1.43751002,0.838540096,1.344356432,0.06517,0.07185
150,0.8,0.86399399,1.43751002,0.836219134,1.338721443,0.06517,0.07185
210,0.8,0.86399399,1.43751002,0.834874068,1.333640628,0.06517,0.07185
270,0.8,0.86399399,1.43751002,0.833667799,1.328597924,0.06517,0.07185
370,0.8,0.86399399,1.43751002,0.831694974,1.320236879,0.06517,0.07185
470,0.8,0.86399399,1.43751002,0.829730206,1.311928477,0.06517,0.07185
570,0.8,0.86399399,1.43751002,0.827770207,1.30367236,0.06517,0.07185
670,0.8,0.86399399,1.43751002,0.825814843,1.2954682,0.06517,0.07185
770,0.8,0.86399399,1.43751002,0.823864099,1.28731567,0.06517,0.07185
870,0.8,0.86399399,1.43751002,0.821917963,1.279214445,0.06517,0.07185
970,0.8,0.86399399,1.43751002,0.819976423,1.271164201,0.06517,0.07185
1070,0.8,0.86399399,1.43751002,0.818039471,1.263164619,0.06517,0.07185
1170,0.8,0.86399399,1.43751002,0.816107093,1.255215379,0.06517,0.07185
60,0.8,0.847784529,1.365091912,0.838540096,1.344356432,0.06517,0.07185
120,0.8,0.847784529,1.365091912,0.836219134,1.338721443,0.06517,0.07185
180,0.8,0.847784529,1.365091912,0.834874068,1.333640628,0.06517,0.07185
240,0.8,0.847784529,1.365091912,0.833667799,1.328597924,0.06517,0.07185
340,0.8,0.847784529,1.365091912,0.831694974,1.320236879,0.06517,0.07185
440,0.8,0.847784529,1.365091912,0.829730206,1.311928477,0.06517,0.07185
540,0.8,0.847784529,1.365091912,0.827770207,1.30367236,0.06517,0.07185
640,0.8,0.847784529,1.365091912,0.825814843,1.2954682,0.06517,0.07185
740,0.8,0.847784529,1.365091912,0.823864099,1.28731567,0.06517,0.07185
840,0.8,0.847784529,1.365091912,0.821917963,1.279214445,0.06517,0.07185
940,0.8,0.847784529,1.365091912,0.819976423,1.271164201,0.06517,0.07185
1040,0.8,0.847784529,1.365091912,0.818039471,1.263164619,0.06517,0.07185
1140,0.8,0.847784529,1.365091912,0.816107093,1.255215379,0.06517,0.07185
60,0.8,0.838540096,1.344356432,0.836219134,1.338721443,0.06517,0.07185
120,0.8,0.838540096,1.344356432,0.834874068,1.333640628,0.06517,0.07185
180,0.8,0.838540096,1.344356432,0.833667799,1.328597924,0.06517,0.07185
280,0.8,0.838540096,1.344356432,0.831694974,1.320236879,0.06517,0.07185
380,0.8,0.838540096,1.344356432,0.829730206,1.311928477,0.06517,0.07185
480,0.8,0.838540096,1.344356432,0.827770207,1.30367236,0.06517,0.07185
580,0.8,0.838540096,1.344356432,0.825814843,1.2954682,0.06517,0.07185
680,0.8,0.838540096,1.344356432,0.823864099,1.28731567,0.06517,0.07185
780,0.8,0.838540096,1.344356432,0.821917963,1.279214445,0.06517,0.07185
880,0.8,0.838540096,1.344356432,0.819976423,1.271164201,0.06517,0.07185
980,0.8,0.838540096,1.344356432,0.818039471,1.263164619,0.06517,0.07185
1080,0.8,0.838540096,1.344356432,0.816107093,1.255215379,0.06517,0.07185
60,0.8,0.836219134,1.338721443,0.834874068,1.333640628,0.06517,0.07185
120,0.8,0.836219134,1.338721443,0.833667799,1.328597924,0.06517,0.07185
220,0.8,0.836219134,1.338721443,0.831694974,1.320236879,0.06517,0.07185
320,0.8,0.836219134,1.338721443,0.829730206,1.311928477,0.06517,0.07185
420,0.8,0.836219134,1.338721443,0.827770207,1.30367236,0.06517,0.07185
520,0.8,0.836219134,1.338721443,0.825814843,1.2954682,0.06517,0.07185
620,0.8,0.836219134,1.338721443,0.823864099,1.28731567,0.06517,0.07185
720,0.8,0.836219134,1.338721443,0.821917963,1.279214445,0.06517,0.07185
820,0.8,0.836219134,1.338721443,0.819976423,1.271164201,0.06517,0.07185
920,0.8,0.836219134,1.338721443,0.818039471,1.263164619,0.06517,0.07185
1020,0.8,0.836219134,1.338721443,0.816107093,1.255215379,0.06517,0.07185
60,0.8,0.834874068,1.333640628,0.833667799,1.328597924,0.06517,0.07185
160,0.8,0.834874068,1.333640628,0.831694974,1.320236879,0.06517,0.07185
260,0.8,0.834874068,1.333640628,0.829730206,1.311928477,0.06517,0.07185
360,0.8,0.834874068,1.333640628,0.827770207,1.30367236,0.06517,0.07185
460,0.8,0.834874068,1.333640628,0.825814843,1.2954682,0.06517,0.07185
560,0.8,0.834874068,1.333640628,0.823864099,1.28731567,0.06517,0.07185
660,0.8,0.834874068,1.333640628,0.821917963,1.279214445,0.06517,0.07185
760,0.8,0.834874068,1.333640628,0.819976423,1.271164201,0.06517,0.07185
860,0.8,0.834874068,1.333640628,0.818039471,1.263164619,0.06517,0.07185
960,0.8,0.834874068,1.333640628,0.816107093,1.255215379,0.06517,0.07185
100,0.8,0.833667799,1.328597924,0.831694974,1.320236879,0.06517,0.07185
200,0.8,0.833667799,1.328597924,0.829730206,1.311928477,0.06517,0.07185
300,0.8,0.833667799,1.328597924,0.827770207,1.30367236,0.06517,0.07185
400,0.8,0.833667799,1.328597924,0.825814843,1.2954682,0.06517,0.07185
500,0.8,0.833667799,1.328597924,0.823864099,1.28731567,0.06517,0.07185
600,0.8,0.833667799,1.328597924,0.821917963,1.279214445,0.06517,0.07185
700,0.8,0.833667799,1.328597924,0.819976423,1.271164201,0.06517,0.07185
800,0.8,0.833667799,1.328597924,0.818039471,1.263164619,0.06517,0.07185
900,0.8,0.833667799,1.328597924,0.816107093,1.255215379,0.06517,0.07185
100,0.8,0.831694974,1.320236879,0.829730206,1.311928477,0.06517,0.07185
200,0.8,0.831694974,1.320236879,0.827770207,1.30367236,0.06517,0.07185
300,0.8,0.831694974,1.320236879,0.825814843,1.2954682,0.06517,0.07185
400,0.8,0.831694974,1.320236879,0.823864099,1.28731567,0.06517,0.07185
500,0.8,0.831694974,1.320236879,0.821917963,1.279214445,0.06517,0.07185
600,0.8,0.831694974,1.320236879,0.819976423,1.271164201,0.06517,0.07185
700,0.8,0.831694974,1.320236879,0.818039471,1.263164619,0.06517,0.07185
800,0.8,0.831694974,1.320236879,0.816107093,1.255215379,0.06517,0.07185
100,0.8,0.829730206,1.311928477,0.827770207,1.30367236,0.06517,0.07185
200,0.8,0.829730206,1.311928477,0.825814843,1.2954682,0.06517,0.07185
300,0.8,0.829730206,1.311928477,0.823864099,1.28731567,0.06517,0.07185
400,0.8,0.829730206,1.311928477,0.821917963,1.279214445,0.06517,0.07185
500,0.8,0.829730206,1.311928477,0.819976423,1.271164201,0.06517,0.07185
600,0.8,0.829730206,1.311928477,0.818039471,1.263164619,0.06517,0.07185
700,0.8,0.829730206,1.311928477,0.816107093,1.255215379,0.06517,0.07185
100,0.8,0.827770207,1.30367236,0.825814843,1.2954682,0.06517,0.07185
200,0.8,0.827770207,1.30367236,0.823864099,1.28731567,0.06517,0.07185
300,0.8,0.827770207,1.30367236,0.821917963,1.279214445,0.06517,0.07185
400,0.8,0.827770207,1.30367236,0.819976423,1.271164201,0.06517,0.07185
500,0.8,0.827770207,1.30367236,0.818039471,1.263164619,0.06517,0.07185
600,0.8,0.827770207,1.30367236,0.816107093,1.255215379,0.06517,0.07185
100,0.8,0.825814843,1.2954682,0.823864099,1.28731567,0.06517,0.07185
200,0.8,0.825814843,1.2954682,0.821917963,1.279214445,0.06517,0.07185
300,0.8,0.825814843,1.2954682,0.819976423,1.271164201,0.06517,0.07185
400,0.8,0.825814843,1.2954682,0.818039471,1.263164619,0.06517,0.07185
500,0.8,0.825814843,1.2954682,0.816107093,1.255215379,0.06517,0.07185
100,0.8,0.823864099,1.28731567,0.821917963,1.279214445,0.06517,0.07185
200,0.8,0.823864099,1.28731567,0.819976423,1.271164201,0.06517,0.07185
300,0.8,0.823864099,1.28731567,0.818039471,1.263164619,0.06517,0.07185
400,0.8,0.823864099,1.28731567,0.816107093,1.255215379,0.06517,0.07185
100,0.8,0.821917963,1.279214445,0.819976423,1.271164201,0.06517,0.07185
200,0.8,0.821917963,1.279214445,0.818039471,1.263164619,0.06517,0.07185
300,0.8,0.821917963,1.279214445,0.816107093,1.255215379,0.06517,0.07185
100,0.8,0.819976423,1.271164201,0.818039471,1.263164619,0.06517,0.07185
200,0.8,0.819976423,1.271164201,0.816107093,1.255215379,0.06517,0.07185
100,0.8,0.818039471,1.263164619,0.816107093,1.255215379,0.06517,0.07185
30,1,0.90694,1.8062,0.879626379,1.633047149,0.06517,0.07185
60,1,0.90694,1.8062,0.86297876,1.547266967,0.06517,0.07185
120,1,0.90694,1.8062,0.846637575,1.483536221,0.06517,0.07185
180,1,0.90694,1.8062,0.840547053,1.467577437,0.06517,0.07185
240,1,0.90694,1.8062,0.83826087,1.463309999,0.06517,0.07185
300,1,0.90694,1.8062,0.837386598,1.461903903,0.06517,0.07185
400,1,0.90694,1.8062,0.836920731,1.460834293,0.06517,0.07185
500,1,0.90694,1.8062,0.836776179,1.460010755,0.06517,0.07185
600,1,0.90694,1.8062,0.836693217,1.459211172,0.06517,0.07185
700,1,0.90694,1.8062,0.836622063,1.458414276,0.06517,0.07185
800,1,0.90694,1.8062,0.836553177,1.45761803,0.06517,0.07185
900,1,0.90694,1.8062,0.836484731,1.45682224,0.06517,0.07185
1000,1,0.90694,1.8062,0.836416373,1.456026886,0.06517,0.07185
1100,1,0.90694,1.8062,0.836348037,1.455231967,0.06517,0.07185
1200,1,0.90694,1.8062,0.83627971,1.454437482,0.06517,0.07185
30,1,0.879626379,1.633047149,0.86297876,1.547266967,0.06517,0.07185
90,1,0.879626379,1.633047149,0.846637575,1.483536221,0.06517,0.07185
150,1,0.879626379,1.633047149,0.840547053,1.467577437,0.06517,0.07185
210,1,0.879626379,1.633047149,0.83826087,1.463309999,0.06517,0.07185
270,1,0.879626379,1.633047149,0.837386598,1.461903903,0.06517,0.07185
370,1,0.879626379,1.633047149,0.836920731,1.460834293,0.06517,0.07185
470,1,0.879626379,1.633047149,0.836776179,1.460010755,0.06517,0.07185
570,1,0.879626379,1.633047149,0.836693217,1.459211172,0.06517,0.07185
670,1,0.879626379,1.633047149,0.836622063,1.458414276,0.06517,0.07185
770,1,0.879626379,1.633047149,0.836553177,1.45761803,0.06517,0.07185
870,1,0.879626379,1.633047149,0.836484731,1.45682224,0.06517,0.07185
970,1,0.879626379,1.633047149,0.836416373,1.456026886,0.06517,0.07185
1070,1,0.879626379,1.633047149,0.836348037,1.455231967,0.06517,0.07185
1170,1,0.879626379,1.633047149,0.83627971,1.454437482,0.06517,0.07185
60,1,0.86297876,1.547266967,0.846637575,1.483536221,0.06517,0.07185
120,1,0.86297876,1.547266967,0.840547053,1.467577437,0.06517,0.07185
180,1,0.86297876,1.547266967,0.83826087,1.463309999,0.06517,0.07185
240,1,0.86297876,1.547266967,0.837386598,1.461903903,0.06517,0.07185
340,1,0.86297876,1.547266967,0.836920731,1.460834293,0.06517,0.07185
440,1,0.86297876,1.547266967,0.836776179,1.460010755,0.06517,0.07185
540,1,0.86297876,1.547266967,0.836693217,1.459211172,0.06517,0.07185
640,1,0.86297876,1.547266967,0.836622063,1.458414276,0.06517,0.07185
740,1,0.86297876,1.547266967,0.836553177,1.45761803,0.06517,0.07185
840,1,0.86297876,1.547266967,0.836484731,1.45682224,0.06517,0.07185
940,1,0.86297876,1.547266967,0.836416373,1.456026886,0.06517,0.07185
1040,1,0.86297876,1.547266967,0.836348037,1.455231967,0.06517,0.07185
1140,1,0.86297876,1.547266967,0.83627971,1.454437482,0.06517,0.07185
60,1,0.846637575,1.483536221,0.840547053,1.467577437,0.06517,0.07185
120,1,0.846637575,1.483536221,0.83826087,1.463309999,0.06517,0.07185
180,1,0.846637575,1.483536221,0.837386598,1.461903903,0.06517,0.07185
280,1,0.846637575,1.483536221,0.836920731,1.460834293,0.06517,0.07185
380,1,0.846637575,1.483536221,0.836776179,1.460010755,0.06517,0.07185
480,1,0.846637575,1.483536221,0.836693217,1.459211172,0.06517,0.07185
580,1,0.846637575,1.483536221,0.836622063,1.458414276,0.06517,0.07185
680,1,0.846637575,1.483536221,0.836553177,1.45761803,0.06517,0.07185
780,1,0.846637575,1.483536221,0.836484731,1.45682224,0.06517,0.07185
880,1,0.846637575,1.483536221,0.836416373,1.456026886,0.06517,0.07185
980,1,0.846637575,1.483536221,0.836348037,1.455231967,0.06517,0.07185
1080,1,0.846637575,1.483536221,0.83627971,1.454437482,0.06517,0.07185
60,1,0.840547053,1.467577437,0.83826087,1.463309999,0.06517,0.07185
120,1,0.840547053,1.467577437,0.837386598,1.461903903,0.06517,0.07185
220,1,0.840547053,1.467577437,0.836920731,1.460834293,0.06517,0.07185
320,1,0.840547053,1.467577437,0.836776179,1.460010755,0.06517,0.07185
420,1,0.840547053,1.467577437,0.836693217,1.459211172,0.06517,0.07185
520,1,0.840547053,1.467577437,0.836622063,1.458414276,0.06517,0.07185
620,1,0.840547053,1.467577437,0.836553177,1.45761803,0.06517,0.07185
720,1,0.840547053,1.467577437,0.836484731,1.45682224,0.06517,0.07185
820,1,0.840547053,1.467577437,0.836416373,1.456026886,0.06517,0.07185
920,1,0.840547053,1.467577437,0.836348037,1.455231967,0.06517,0.07185
1020,1,0.840547053,1.467577437,0.83627971,1.454437482,0.06517,0.07185
60,1,0.83826087,1.463309999,0.837386598,1.461903903,0.06517,0.07185
160,1,0.83826087,1.463309999,0.836920731,1.460834293,0.06517,0.07185
260,1,0.83826087,1.463309999,0.836776179,1.460010755,0.06517,0.07185
360,1,0.83826087,1.463309999,0.836693217,1.459211172,0.06517,0.07185
460,1,0.83826087,1.463309999,0.836622063,1.458414276,0.06517,0.07185
560,1,0.83826087,1.463309999,0.836553177,1.45761803,0.06517,0.07185
660,1,0.83826087,1.463309999,0.836484731,1.45682224,0.06517,0.07185
760,1,0.83826087,1.463309999,0.836416373,1.456026886,0.06517,0.07185
860,1,0.83826087,1.463309999,0.836348037,1.455231967,0.06517,0.07185
960,1,0.83826087,1.463309999,0.83627971,1.454437482,0.06517,0.07185
100,1,0.837386598,1.461903903,0.836920731,1.460834293,0.06517,0.07185
200,1,0.837386598,1.461903903,0.836776179,1.460010755,0.06517,0.07185
300,1,0.837386598,1.461903903,0.836693217,1.459211172,0.06517,0.07185
400,1,0.837386598,1.461903903,0.836622063,1.458414276,0.06517,0.07185
500,1,0.837386598,1.461903903,0.836553177,1.45761803,0.06517,0.07185
600,1,0.837386598,1.461903903,0.836484731,1.45682224,0.06517,0.07185
700,1,0.837386598,1.461903903,0.836416373,1.456026886,0.06517,0.07185
800,1,0.837386598,1.461903903,0.836348037,1.455231967,0.06517,0.07185
900,1,0.837386598,1.461903903,0.83627971,1.454437482,0.06517,0.07185
100,1,0.836920731,1.460834293,0.836776179,1.460010755,0.06517,0.07185
200,1,0.836920731,1.460834293,0.836693217,1.459211172,0.06517,0.07185
300,1,0.836920731,1.460834293,0.836622063,1.458414276,0.06517,0.07185
400,1,0.836920731,1.460834293,0.836553177,1.45761803,0.06517,0.07185
500,1,0.836920731,1.460834293,0.836484731,1.45682224,0.06517,0.07185
600,1,0.836920731,1.460834293,0.836416373,1.456026886,0.06517,0.07185
700,1,0.836920731,1.460834293,0.836348037,1.455231967,0.06517,0.07185
800,1,0.836920731,1.460834293,0.83627971,1.454437482,0.06517,0.07185
100,1,0.836776179,1.460010755,0.836693217,1.459211172,0.06517,0.07185
200,1,0.836776179,1.460010755,0.836622063,1.458414276,0.06517,0.07185
300,1,0.836776179,1.460010755,0.836553177,1.45761803,0.06517,0.07185
400,1,0.836776179,1.460010755,0.836484731,1.45682224,0.06517,0.07185
500,1,0.836776179,1.460010755,0.836416373,1.456026886,0.06517,0.07185
600,1,0.836776179,1.460010755,0.836348037,1.455231967,0.06517,0.07185
700,1,0.836776179,1.460010755,0.83627971,1.454437482,0.06517,0.07185
100,1,0.836693217,1.459211172,0.836622063,1.458414276,0.06517,0.07185
200,1,0.836693217,1.459211172,0.836553177,1.45761803,0.06517,0.07185
300,1,0.836693217,1.459211172,0.836484731,1.45682224,0.06517,0.07185
400,1,0.836693217,1.459211172,0.836416373,1.456026886,0.06517,0.07185
500,1,0.836693217,1.459211172,0.836348037,1.455231967,0.06517,0.07185
600,1,0.836693217,1.459211172,0.83627971,1.454437482,0.06517,0.07185
100,1,0.836622063,1.458414276,0.836553177,1.45761803,0.06517,0.07185
200,1,0.836622063,1.458414276,0.836484731,1.45682224,0.06517,0.07185
300,1,0.836622063,1.458414276,0.836416373,1.456026886,0.06517,0.07185
400,1,0.836622063,1.458414276,0.836348037,1.455231967,0.06517,0.07185
500,1,0.836622063,1.458414276,0.83627971,1.454437482,0.06517,0.07185
100,1,0.836553177,1.45761803,0.836484731,1.45682224,0.06517,0.07185
200,1,0.836553177,1.45761803,0.836416373,1.456026886,0.06517,0.07185
300,1,0.836553177,1.45761803,0.836348037,1.455231967,0.06517,0.07185
400,1,0.836553177,1.45761803,0.83627971,1.454437482,0.06517,0.07185
100,1,0.836484731,1.45682224,0.836416373,1.456026886,0.06517,0.07185
200,1,0.836484731,1.45682224,0.836348037,1.455231967,0.06517,0.07185
300,1,0.836484731,1.45682224,0.83627971,1.454437482,0.06517,0.07185
100,1,0.836416373,1.456026886,0.836348037,1.455231967,0.06517,0.07185
200,1,0.836416373,1.456026886,0.83627971,1.454437482,0.06517,0.07185
100,1,0.836348037,1.455231967,0.83627971,1.454437482,0.06517,0.07185
30,1.3,0.90723,1.8108,0.8853685,1.795408409,0.06517,0.07185
60,1.3,0.90723,1.8108,0.87669708,1.781750141,0.06517,0.07185
120,1.3,0.90723,1.8108,0.871452249,1.758883063,0.06517,0.07185
180,1.3,0.90723,1.8108,0.869949058,1.740898553,0.06517,0.07185
240,1.3,0.90723,1.8108,0.869000091,1.726769831,0.06517,0.07185
300,1.3,0.90723,1.8108,0.868133823,1.715686046,0.06517,0.07185
400,1.3,0.90723,1.8108,0.866713222,1.702302286,0.06517,0.07185
500,1.3,0.90723,1.8108,0.865297206,1.693462473,0.06517,0.07185
600,1.3,0.90723,1.8108,0.863883597,1.687688489,0.06517,0.07185
700,1.3,0.90723,1.8108,0.862472302,1.683983059,0.06517,0.07185
800,1.3,0.90723,1.8108,0.861063312,1.681673331,0.06517,0.07185
900,1.3,0.90723,1.8108,0.859656623,1.680305338,0.06517,0.07185
1000,1.3,0.90723,1.8108,0.858252233,1.67957279,0.06517,0.07185
1100,1.3,0.90723,1.8108,0.856850137,1.67926904,0.06517,0.07185
1200,1.3,0.90723,1.8108,0.855450332,1.679254661,0.06517,0.07185
30,1.3,0.8853685,1.795408409,0.87669708,1.781750141,0.06517,0.07185
90,1.3,0.8853685,1.795408409,0.871452249,1.758883063,0.06517,0.07185
150,1.3,0.8853685,1.795408409,0.869949058,1.740898553,0.06517,0.07185
210,1.3,0.8853685,1.795408409,0.869000091,1.726769831,0.06517,0.07185
270,1.3,0.8853685,1.795408409,0.868133823,1.715686046,0.06517,0.07185
370,1.3,0.8853685,1.795408409,0.866713222,1.702302286,0.06517,0.07185
470,1.3,0.8853685,1.795408409,0.865297206,1.693462473,0.06517,0.07185
570,1.3,0.8853685,1.795408409,0.863883597,1.687688489,0.06517,0.07185
670,1.3,0.8853685,1.795408409,0.862472302,1.683983059,0.06517,0.07185
770,1.3,0.8853685,1.795408409,0.861063312,1.681673331,0.06517,0.07185
870,1.3,0.8853685,1.795408409,0.859656623,1.680305338,0.06517,0.07185
970,1.3,0.8853685,1.795408409,0.858252233,1.67957279,0.06517,0.07185
1070,1.3,0.8853685,1.795408409,0.856850137,1.67926904,0.06517,0.07185
1170,1.3,0.8853685,1.795408409,0.855450332,1.679254661,0.06517,0.07185
60,1.3,0.87669708,1.781750141,0.871452249,1.758883063,0.06517,0.07185
120,1.3,0.87669708,1.781750141,0.869949058,1.740898553,0.06517,0.07185
180,1.3,0.87669708,1.781750141,0.869000091,1.726769831,0.06517,0.07185
240,1.3,0.87669708,1.781750141,0.868133823,1.715686046,0.06517,0.07185
340,1.3,0.87669708,1.781750141,0.866713222,1.702302286,0.06517,0.07185
440,1.3,0.87669708,1.781750141,0.865297206,1.693462473,0.06517,0.07185
540,1.3,0.87669708,1.781750141,0.863883597,1.687688489,0.06517,0.07185
640,1.3,0.87669708,1.781750141,0.862472302,1.683983059,0.06517,0.07185
740,1.3,0.87669708,1.781750141,0.861063312,1.681673331,0.06517,0.07185
840,1.3,0.87669708,1.781750141,0.859656623,1.680305338,0.06517,0.07185
940,1.3,0.87669708,1.781750141,0.858252233,1.67957279,0.06517,0.07185
1040,1.3,0.87669708,1.781750141,0.856850137,1.67926904,0.06517,0.07185
1140,1.3,0.87669708,1.781750141,0.855450332,1.679254661,0.06517,0.07185
60,1.3,0.871452249,1.758883063,0.869949058,1.740898553,0.06517,0.07185
120,1.3,0.871452249,1.758883063,0.869000091,1.726769831,0.06517,0.07185
180,1.3,0.871452249,1.758883063,0.868133823,1.715686046,0.06517,0.07185
280,1.3,0.871452249,1.758883063,0.866713222,1.702302286,0.06517,0.07185
380,1.3,0.871452249,1.758883063,0.865297206,1.693462473,0.06517,0.07185
480,1.3,0.871452249,1.758883063,0.863883597,1.687688489,0.06517,0.07185
580,1.3,0.871452249,1.758883063,0.862472302,1.683983059,0.06517,0.07185
680,1.3,0.871452249,1.758883063,0.861063312,1.681673331,0.06517,0.07185
780,1.3,0.871452249,1.758883063,0.859656623,1.680305338,0.06517,0.07185
880,1.3,0.871452249,1.758883063,0.858252233,1.67957279,0.06517,0.07185
980,1.3,0.871452249,1.758883063,0.856850137,1.67926904,0.06517,0.07185
1080,1.3,0.871452249,1.758883063,0.855450332,1.679254661,0.06517,0.07185
60,1.3,0.869949058,1.740898553,0.869000091,1.726769831,0.06517,0.07185
120,1.3,0.869949058,1.740898553,0.868133823,1.715686046,0.06517,0.07185
220,1.3,0.869949058,1.740898553,0.866713222,1.702302286,0.06517,0.07185
320,1.3,0.869949058,1.740898553,0.865297206,1.693462473,0.06517,0.07185
420,1.3,0.869949058,1.740898553,0.863883597,1.687688489,0.06517,0.07185
520,1.3,0.869949058,1.740898553,0.862472302,1.683983059,0.06517,0.07185
620,1.3,0.869949058,1.740898553,0.861063312,1.681673331,0.06517,0.07185
720,1.3,0.869949058,1.740898553,0.859656623,1.680305338,0.06517,0.07185
820,1.3,0.869949058,1.740898553,0.858252233,1.67957279,0.06517,0.07185
920,1.3,0.869949058,1.740898553,0.856850137,1.67926904,0.06517,0.07185
1020,1.3,0.869949058,1.740898553,0.855450332,1.679254661,0.06517,0.07185
60,1.3,0.869000091,1.726769831,0.868133823,1.715686046,0.06517,0.07185
160,1.3,0.869000091,1.726769831,0.866713222,1.702302286,0.06517,0.07185
260,1.3,0.869000091,1.726769831,0.865297206,1.693462473,0.06517,0.07185
360,1.3,0.869000091,1.726769831,0.863883597,1.687688489,0.06517,0.07185
460,1.3,0.869000091,1.726769831,0.862472302,1.683983059,0.06517,0.07185
560,1.3,0.869000091,1.726769831,0.861063312,1.681673331,0.06517,0.07185
660,1.3,0.869000091,1.726769831,0.859656623,1.680305338,0.06517,0.07185
760,1.3,0.869000091,1.726769831,0.858252233,1.67957279,0.06517,0.07185
860,1.3,0.869000091,1.726769831,0.856850137,1.67926904,0.06517,0.07185
960,1.3,0.869000091,1.726769831,0.855450332,1.679254661,0.06517,0.07185
100,1.3,0.868133823,1.715686046,0.866713222,1.702302286,0.06517,0.07185
200,1.3,0.868133823,1.715686046,0.865297206,1.693462473,0.06517,0.07185
300,1.3,0.868133823,1.715686046,0.863883597,1.687688489,0.06517,0.07185
400,1.3,0.868133823,1.715686046,0.862472302,1.683983059,0.06517,0.07185
500,1.3,0.868133823,1.715686046,0.861063312,1.681673331,0.06517,0.07185
600,1.3,0.868133823,1.715686046,0.859656623,1.680305338,0.06517,0.07185
700,1.3,0.868133823,1.715686046,0.858252233,1.67957279,0.06517,0.07185
800,1.3,0.868133823,1.715686046,0.856850137,1.67926904,0.06517,0.07185
900,1.3,0.868133823,1.715686046,0.855450332,1.679254661,0.06517,0.07185
100,1.3,0.866713222,1.702302286,0.865297206,1.693462473,0.06517,0.07185
200,1.3,0.866713222,1.702302286,0.863883597,1.687688489,0.06517,0.07185
300,1.3,0.866713222,1.702302286,0.862472302,1.683983059,0.06517,0.07185
400,1.3,0.866713222,1.702302286,0.861063312,1.681673331,0.06517,0.07185
500,1.3,0.866713222,1.702302286,0.859656623,1.680305338,0.06517,0.07185
600,1.3,0.866713222,1.702302286,0.858252233,1.67957279,0.06517,0.07185
700,1.3,0.866713222,1.702302286,0.856850137,1.67926904,0.06517,0.07185
800,1.3,0.866713222,1.702302286,0.855450332,1.679254661,0.06517,0.07185
100,1.3,0.865297206,1.693462473,0.863883597,1.687688489,0.06517,0.07185
200,1.3,0.865297206,1.693462473,0.862472302,1.683983059,0.06517,0.07185
300,1.3,0.865297206,1.693462473,0.861063312,1.681673331,0.06517,0.07185
400,1.3,0.865297206,1.693462473,0.859656623,1.680305338,0.06517,0.07185
500,1.3,0.865297206,1.693462473,0.858252233,1.67957279,0.06517,0.07185
600,1.3,0.865297206,1.693462473,0.856850137,1.67926904,0.06517,0.07185
700,1.3,0.865297206,1.693462473,0.855450332,1.679254661,0.06517,0.07185
100,1.3,0.863883597,1.687688489,0.862472302,1.683983059,0.06517,0.07185
200,1.3,0.863883597,1.687688489,0.861063312,1.681673331,0.06517,0.07185
300,1.3,0.863883597,1.687688489,0.859656623,1.680305338,0.06517,0.07185
400,1.3,0.863883597,1.687688489,0.858252233,1.67957279,0.06517,0.07185
500,1.3,0.863883597,1.687688489,0.856850137,1.67926904,0.06517,0.07185
600,1.3,0.863883597,1.687688489,0.855450332,1.679254661,0.06517,0.07185
100,1.3,0.862472302,1.683983059,0.861063312,1.681673331,0.06517,0.07185
200,1.3,0.862472302,1.683983059,0.859656623,1.680305338,0.06517,0.07185
300,1.3,0.862472302,1.683983059,0.858252233,1.67957279,0.06517,0.07185
400,1.3,0.862472302,1.683983059,0.856850137,1.67926904,0.06517,0.07185
500,1.3,0.862472302,1.683983059,0.855450332,1.679254661,0.06517,0.07185
100,1.3,0.861063312,1.681673331,0.859656623,1.680305338,0.06517,0.07185
200,1.3,0.861063312,1.681673331,0.858252233,1.67957279,0.06517,0.07185
300,1.3,0.861063312,1.681673331,0.856850137,1.67926904,0.06517,0.07185
400,1.3,0.861063312,1.681673331,0.855450332,1.679254661,0.06517,0.07185
100,1.3,0.859656623,1.680305338,0.858252233,1.67957279,0.06517,0.07185
200,1.3,0.859656623,1.680305338,0.856850137,1.67926904,0.06517,0.07185
300,1.3,0.859656623,1.680305338,0.855450332,1.679254661,0.06517,0.07185
